"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-06","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-07","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-08","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-09","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-10","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-11","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2009-12","RO","Romania",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2010-01","AT","Austria",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2010-02","AT","Austria",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2010-08","AT","Austria",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2010-10","AT","Austria",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2010-11","AT","Austria",-,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","AT","Austria",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","CZ","Czech Republic",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","DK","Denmark",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","HU","Hungary",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","IT","Italy",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","NL","Netherlands",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","NO","Norway",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-01","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","AT","Austria",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","CZ","Czech Republic",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","ES","Spain",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","HU","Hungary",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","IT","Italy",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","NL","Netherlands",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","SE","Sweden",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-02","SK","Slovakia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","BE","Belgium",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","SE","Sweden",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-03","SK","Slovakia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","AT","Austria",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","HU","Hungary",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","IT","Italy",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-04","SK","Slovakia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","AT","Austria",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","BE","Belgium",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","CZ","Czech Republic",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","DE","Germany",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","HU","Hungary",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","IT","Italy",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-05","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","AT","Austria",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","ES","Spain",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-06","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","IT","Italy",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-07","SK","Slovakia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","IT","Italy",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-08","SK","Slovakia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","AT","Austria",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","BE","Belgium",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","IT","Italy",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-09","SE","Sweden",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","BE","Belgium",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","DK","Denmark",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","NL","Netherlands",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-10","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","BE","Belgium",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","DK","Denmark",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","ES","Spain",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","HU","Hungary",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","NL","Netherlands",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","SE","Sweden",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-11","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","BE","Belgium",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","DE","Germany",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","ES","Spain",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","IT","Italy",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","NO","Norway",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2007-12","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","AT","Austria",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","HU","Hungary",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","IT","Italy",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","SE","Sweden",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-01","SK","Slovakia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","ES","Spain",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","HU","Hungary",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","NL","Netherlands",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-02","SK","Slovakia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","AT","Austria",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","BE","Belgium",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","HU","Hungary",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","IT","Italy",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","NL","Netherlands",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-03","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","BE","Belgium",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","ES","Spain",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","LV","Latvia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","NL","Netherlands",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-04","SK","Slovakia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","BE","Belgium",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","CZ","Czech Republic",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","IT","Italy",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","LT","Lithuania",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","LU","Luxembourg",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","MT","Malta",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","NL","Netherlands",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","PT","Portugal",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","SI","Slovenia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-05","SK","Slovakia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-06","CY","Cyprus",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-06","CZ","Czech Republic",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-06","EE","Estonia",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-06","EL","Greece",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-06","ES","Spain",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-06","FI","Finland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-06","HU","Hungary",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-06","IE","Ireland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-06","IS","Iceland",0.000000000,""
"Salmonellosis","Serotype AGONA","Reported cases","N","2008-06","LU","Luxembourg",0.000000000,""
